Season,Opponent,Home,Win,MOV,Streak,Rk,Age,W/L,ExW/L,AvMOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Record
2024-2025,Washington Wizards,1,1,14,1,30,23.6,0.217948718,0.179487179,-12.38,0.4,-11.99,107,119.3,-12.3,100.9,0.23,0.436,0.547,0.513,13.6,22.8,0.18,0.55,11.5,71.9,0.201,0.666666667
2024-2025,Chicago Bulls,0,0,-9,2,20,25.2,0.461538462,0.435897436,-2.1,-0.14,-2.24,114,116.1,-2.1,102.9,0.215,0.458,0.585,0.554,12.7,22,0.173,0.54,10.7,76.5,0.181,0.625
2024-2025,Chicago Bulls,1,1,25,-1,20,25.2,0.461538462,0.435897436,-2.1,-0.14,-2.24,114,116.1,-2.1,102.9,0.215,0.458,0.585,0.554,12.7,22,0.173,0.54,10.7,76.5,0.181,0.666666667
2024-2025,Orlando Magic,1,0,-4,1,17,24.9,0.487179487,0.487179487,-0.5,-0.67,-1.17,109.1,109.6,-0.5,96.1,0.271,0.411,0.548,0.508,12.9,25.2,0.211,0.538,15,77.3,0.223,0.571428571
2024-2025,Philadelphia 76ers,0,0,-4,-1,25,27.3,0.294871795,0.320512821,-6.21,0.13,-6.07,112.1,118.4,-6.3,97.2,0.257,0.424,0.565,0.528,12.3,23.2,0.201,0.572,14.4,71.9,0.195,0.666666667
2024-2025,Indiana Pacers,0,1,37,-2,11,25.8,0.602564103,0.564102564,2.32,-0.64,1.68,116.9,114.6,2.3,99.8,0.238,0.402,0.598,0.566,11.8,21,0.189,0.547,13.1,74.5,0.193,0.777777778
2024-2025,Indiana Pacers,0,0,-9,1,11,25.8,0.602564103,0.564102564,2.32,-0.64,1.68,116.9,114.6,2.3,99.8,0.238,0.402,0.598,0.566,11.8,21,0.189,0.547,13.1,74.5,0.193,0.777777778
2024-2025,Toronto Raptors,0,1,54,-1,24,24.5,0.367088608,0.367088608,-4.47,0.04,-4.43,110.4,114.8,-4.4,99.7,0.235,0.371,0.553,0.522,13.4,27.4,0.176,0.54,13.1,73.8,0.223,0.9
2024-2025,Minnesota Timberwolves,1,1,3,1,5,27.2,0.58974359,0.641025641,4.67,0.28,4.95,116.2,111.5,4.7,97.3,0.25,0.455,0.587,0.553,13,25.8,0.197,0.532,13.2,75,0.179,0.6
2024-2025,Houston Rockets,1,1,23,2,4,24.9,0.658227848,0.670886076,5.48,0.32,5.8,115.4,109.9,5.5,98.5,0.246,0.381,0.552,0.521,11.8,32,0.182,0.524,12.9,76.2,0.185,0.8
